,Security Id,Security Name,Group,Industry
2780,LLFICL,Leading Leasing Finance And Investment Company Ltd,XT,Other Financial Services
2782,RADIOCITY,Music Broadcast Ltd,B ,Broadcasting &amp; Cable TV
2783,DMART,Avenue Supermarts Ltd,B ,Department Stores
2784,IFL,IFL Enterprises Ltd,M ,Comm.Trading  &amp; Distribution
2786,ONTIC,Ontic Finserve Ltd,XT,Other Financial Services
2788,CHEMCRUX,Chemcrux Enterprises Ltd,M ,Specialty Chemicals
2789,MANOMAY,Manomay Tex India Ltd,M ,Textiles
2790,MAXIMUS,Maximus International Ltd,M ,Finance (including NBFCs)
2792,CLEDUCATE,CL Educate Ltd,B ,Education
2793,OCEANIC,Oceanic Foods Ltd,M ,Other Food Products
2794,OCTAWARE,Octaware Technologies Ltd,M ,Internet Software &amp; Services
2795,SHANKARA,Shankara Building Products Ltd,B ,Iron &amp; Steel Products
2801,SCHAND,S Chand and Company Ltd,B ,Publishing
2802,KANUNGO,Kanungo Financiers Ltd,XT,Other Financial Services
2803,MEERA,Meera Industries Ltd,M ,Industrial Machinery
2804,HUDCO,Housing and Urban Development Corporation Ltd,B ,Housing Finance 
2805,PSPPROJECT,PSP Projects Ltd,B ,Construction &amp; Engineering
2806,BGJL,Bhakti Gems and Jewellery Ltd,M ,Other Apparels &amp; Accessories
2807,YUG,Yug Decor Ltd,M ,Specialty Chemicals
2809,STARCEMENT,Star Cement Ltd,B ,Cement &amp; Cement Products
2810,RIDDHICORP,Riddhi Corporate Services Ltd,M ,BPO/KPO
2811,TEJASNET,Tejas Networks Ltd,B ,Other Telecom Services
2812,ERIS,Eris Lifesciences Ltd,B ,Pharmaceuticals
2813,CONTAINER,Containerway International Ltd,XT,Transportation - Logistics
2814,GTPL,GTPL Hathway Ltd,B ,Other Telecom Services
2815,AUBANK,AU Small Finance Bank Ltd,B ,Banks
2816,GEL,Gautam Exim Ltd,M ,Comm.Trading  &amp; Distribution
2817,GGENG,G G Engineering Ltd,M ,Heavy Electrical Equipment
2818,7NR,7NR Retail Ltd,M ,Specialty Retail
